species,suitability,range,centroid_x,centroid_y,runtime,threshold,training_auc,testing_auc,BIO1,BIO7,BIO12,PFT1,PFT2,PFT4,PFT5,PFT6,PFT7,PFT8,PFT9,PFT10,PFT11,PFT12,PFT13,PFT14,PFT31,PFT32,Rainfed,Irrigated,HPD,Slope
Aeshna umbrosa,0.092223252509603,5235851,-92.1621560201843,42.5319593736803,449.948447942734,0.30336262,0.8982,0.947049650019947,80.4203,,12.3889,,,,,,,,,,,,,1.4519,,,,,5.7389,
Aeshna palmata,0.0607900901655787,4239567,-112.484614474164,45.2374112486274,875.250631093979,0.26358433,0.9397,0.96912761567934,67.2827,15.369,3.6019,,4.3987,,,,1.6554,,,,,,,,,,3.8646,,3.8277,
Aeshna canadensis,0.0452939674710808,3373255,-88.1082641847043,45.7696073279214,682.907175064087,0.18464716,0.9491,0.972675472675473,74.5396,6.9892,12.2402,,1.8988,,,,,,,,,,2.9519,,,,1.3804,,,
Aeshna interrupta,0.0913477911192161,7053697,-99.2430753829364,46.6375744667021,498.713168144226,0.23562405,0.9264,0.937295908226141,83.0879,5.6078,,,3.5702,,,,,,,,,,,,,,,,5.4068,2.3273
Aeshna constricta,0.0822641713295696,5667399,-97.6320290894724,43.8806556946346,593.179042100906,0.24359629,0.9382,0.950170519136036,79.5138,5.3948,,,11.001,,,,,,,,,,4.0904,,,,,,,
Argia fumipennis,0.0915137992840654,5805672,-88.4067002310321,37.6110701369012,1875.19736909866,0.3342714,0.8359,0.95190380343964,19.2739,14.4493,15.2861,,23.1006,,,,2.754,,,,5.4228,,,8.0167,2.9513,,4.5013,,,4.2441
Argia apicalis,0.0919310790098538,3738166,-90.7486059365834,36.6857459395302,1029.05721688271,0.48265435,0.8369,0.94473577105156,52.8727,9.7566,,,9.7119,,,4.1926,,2.7512,,,,,,,,,,,16.0793,4.6357
Argia moesta,0.111887433028174,5962338,-91.5439507498939,37.4835660817777,1085.2043428421,0.38875543,0.8339,0.937546241449587,28.4132,28.0862,,3.122,13.0356,,,,,,,,5.1596,,6.4076,1.0038,,,,,14.7719,
Argia sedula,0.0766739339776775,6550340,-96.5184966867788,33.5298900474815,647.122249126434,0.24924396,0.8757,0.961765358824182,63.6727,18.2958,2.7894,,,,,,,,,,3.2185,,,,,,,,12.0236,
Argia tibialis,0.0566177170878832,4489412,-88.2991700780384,36.8221675890201,763.894478082657,0.23642144,0.8928,0.964073078624162,50.5236,5.6652,36.869,,,,,,,,,,,,,0.9062,,,,,,6.036
Calopteryx maculata,0.0829790454131231,5952740,-86.987817044148,38.9202123177211,1140.3298330307,0.25866945,0.8156,0.961390813292987,22.6688,12.5734,32.686,,11.8391,,,,4.4829,,,4.8466,,,,1.5242,2.6313,,,,,6.7476
Calopteryx aequabilis,0.0872700227234187,3590352,-89.4563964086631,44.3292230193036,397.470305919647,0.507246,0.9228,0.94831489977121,73.217,6.106,9.901,,,,,,,,,,,,,10.7759,,,,,,
Calopteryx dimidiata,0.0166413886397662,2118974,-84.3800231474264,36.1893464425418,881.447550058365,0.073944,0.9749,0.990942572909786,13.1954,8.6533,31.0977,15.5197,,,,,11.0232,,,,,,2.7294,,7.43,,,,,10.3512
Calopteryx angustipennis,0.00947214941375239,479081,-83.1348697084436,36.9967783029768,523.106697797775,0.34464483,0.9915,0.996133496133496,39.8498,22.4552,,5.5394,,,,,19.8324,,,,,,,,,,,3.7474,,8.5758
Calopteryx amata,0.0227798510383929,1299539,-83.0107127412086,43.2397998479346,363.770714044571,0.33265493,0.9856,0.989098203383918,27.7636,,21.7302,,6.1509,,,,,,,,,,41.46,,,,,,,2.8953
Hetaerina americana,0.100002550267915,5352368,-94.5799755663514,36.7912918759323,1046.1989300251,0.38438453,0.8458,0.949390348992735,53.0604,18.3162,5.2013,,5.1356,,,,1.488,,,0.7158,,,1.2561,,,,,,14.8266,
Hetaerina titia,0.0568258228695923,3389936,-88.9008886087963,34.4222170352122,528.488573074341,0.34165107,0.9391,0.962312892868448,57.676,22.1997,15.2978,,,,,,,,,,,,,,4.8265,,,,,
Hetaerina vulnerata,0.00496985630809104,999177,-108.356752172538,35.3813361671412,1007.47149205208,0.04148149,0.9876,0.997524080857414,36.6158,2.3149,8.6778,5.0272,7.2521,,,,,,,0.5574,,,,2.5463,1.9036,,29.2702,,,5.8346
Libellula luctuosa,0.114765466354602,5730544,-90.4665750134559,38.2499202251442,1130.49836301804,0.39355517,0.7522,0.951158995759935,36.9024,9.5177,,,12.1309,,,4.6402,5.1303,,,,6.3251,,,4.8346,,,,,17.3855,3.1334
Libellula incesta,0.0686472488673266,4112875,-85.2804458022963,37.5933768290356,1023.34577083588,0.43792992,0.7902,0.974450341797281,9.6132,14.5054,47.9309,,14.6598,,,,5.2293,,,,,,,2.2987,,,,,,5.7629
Libellula pulchella,0.129869174048966,4981376,-91.2694603495066,40.5484409499949,776.194809913635,0.42455965,0.795,0.937626930031993,47.5748,12.2878,,,9.4578,,,3.5148,,,,,,4.2389,,1.6468,,,,,21.2791,
Libellula vibrans,0.0517935353872514,4010147,-87.729646903855,36.1295168514005,645.151033878326,0.24615246,0.8599,0.972742065787179,43.6099,14.5737,29.8604,,6.1859,,,,,,,,,,,,,,,,,5.7701
Libellula cyanea,0.0457725107657076,3316890,-85.4409628109195,38.324168531649,399.851721048355,0.30613242,0.8949,0.979851678966723,29.9268,21.7205,41.1067,,7.246,,,,,,,,,,,,,,,,,
Plathemis lydia,0.129315759737618,6774348,-89.7851809408425,38.0986417764428,1595.71196389198,0.38549643,0.713,0.9425699400741,34.2845,5.1802,13.5579,,11.6423,,,7.7675,4.6165,,,,,4.5618,,3.7832,,,,,10.6306,3.9754
Plathemis subornata,0.0251124371704026,4357973,-108.889213118205,37.6805433406891,1119.27576899529,0.03286876,0.9808,0.979196017657556,33.1048,12.38,30.4009,,,,,,10.8999,,,2.7166,,,6.658,,,,1.8271,,,2.0126
Sympetrum vicinum,0.0897216432192702,4673572,-87.3980407290442,40.5366307375839,1001.36168694496,0.35166665,0.8384,0.95278689289106,59.1231,,22.8241,,9.1634,,,,,,,,,,,0.578,,,,,3.9359,4.3757
Sympetrum corruptum,0.139333176274373,5621857,-102.527792933236,35.1104772025352,1509.92613792419,0.47789844,0.8336,0.91368089275066,49.7258,6.8782,7.9315,1.7952,7.008,,,4.8465,3.2678,,,,,4.367,,,,,1.5281,,12.6519,
Sympetrum semicinctum,0.0996075283064941,6705612,-97.4516763976847,42.8882749013665,387.558516979218,0.32692407,0.8894,0.939123960151998,71.8371,12.9421,,,3.551,,,,,,,,,,,,,,,,11.6698,
Sympetrum obtrusum,0.0860539038626552,4657579,-94.074562298705,44.5936805452708,407.500833034515,0.36702168,0.91,0.962998049204946,83.0227,5.5708,,,,,,,,,,,,,,,,,,,7.7885,3.6179
Sympetrum ambiguum,0.0409165470078054,2998092,-88.6995651467346,36.409141883484,272.113375902176,0.33805247,0.937,0.975445665445665,62.6191,20.8339,16.547,,,,,,,,,,,,,,,,,,,
